Array Size,Time Taken to Run ROW-BY-ROW (in Seconds),Time Taken to Run COLUMN-BY-COLUMN (in Seconds)
20000,.62211,3.61038
21000,.67351,3.81098
22000,.79815,4.97448
23000,.82937,4.87519
24000,.90204,6.53813
25000,2.35156,11.46572
26000,1.06563,5.72788
27000,1.09800,7.10913
28000,1.20889,8.27919
29000,1.43089,8.32066
30000,1.35717,9.08937
31000,1.45034,9.94193
32000,1.52373,18.36116
33000,1.67825,10.88098
34000,1.78588,13.45593
35000,2.44045,17.43705
36000,2.00314,17.45574
37000,2.31765,16.30104
38000,2.25425,17.30379
39000,2.38225,18.73509
40000,3.41148,29.42424

Number of Threads,Time Taken to Run (in Seconds)
1,1.02082
2,3.58708
3,4.31166
4,5.87644
5,6.43911
6,11.6406
7,11.7192
8,14.3559

Spacing Size,Time Taken to Run (in Seconds)
1,3.65982
2,1.8476
3,3.72354
4,2.74537
5,1.89937
6,2.24162
7,3.21001
8,2.07044
9,3.16727
10,3.30049
11,3.30507
12,1.15962
13,0.801929
14,1.23174
15,0.948399
16,0.824576
17,0.997073
18,1.05472
19,0.92346
20,1.30774

Array Size,Time Taken to Run ROW-BY-ROW (in Seconds),Time Taken to Run COLUMN-BY-COLUMN (in Seconds)
